CI,2007/08,0,0,0,0,442,0,0,0,130,572,0,572,,,,,
CI,2008/09,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Djibouti,2004/05,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Djibouti,2005/06,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Djibouti,2006/07,3944,0,0,0,0,0,0,0,0,3944,0,3944,,,,,
Djibouti,2007/08,176,0,0,0,0,0,0,0,0,176,0,176,,,,,
Djibouti,2008/09,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Egypt,2004/05,725,0,0,0,0,0,2029,0,0,2754,452,3206,,,,,
Egypt,2005/06,6,0,0,0,0,0,72,0,0,78,406,484,,,,,
Egypt,2006/07,0,0,0,0,0,0,0,0,0,0,519,519,,,,,
Egypt,2007/08,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Egypt,2008/09,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Equatorial Guinea,2004/05,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Equatorial Guinea,2005/06,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Equatorial Guinea,2006/07,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Equatorial Guinea,2007/08,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Equatorial Guinea,2008/09,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Eritrea,2004/05,0,0,0,0,0,0,0,0,1065,1065,245,1310,,,,,
Eritrea,2005/06,0,0,-4,0,0,0,0,0,2108,2104,204,2308,,,,,
Eritrea,2006/07,0,0,0,0,4,0,0,0,3486,3490,0,3490,,,,,
Eritrea,2007/08,0,0,-243,0,239,0,0,0,2770,2767,600,3367,,,,,
Eritrea,2008/09,0,448,0,1048,0,0,146,0,2050,3692,0,3692,,,,,
Ethiopia,2004/05,16205,6107,15763,0,4976,10520,90,103,6704,60468,1896,62364,,,,,
Ethiopia,2005/06,1936,3121,37813,13,5897,3391,79,85,9104,61438,1119,62558,,,,,
Ethiopia,2006/07,20144,15303,17867,9618,21369,3018,21,218,1968,89526,971,90496,,,,,
Ethiopia,2007/08,54857,18315,22506,7441,11580,16914,2574,333,5000,139519,0,139519,,,,,
Ethiopia,2008/09,28389,25382,41790,17265,11453,6626,623,477,33515,165521,0,165521,,,,,
Gabon,2004/05,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Gabon,2005/06,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Gabon,2006/07,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Gabon,2007/08,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Gabon,2008/09,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Gambia,2004/05,10,0,56,0,264,1,0,0,0,331,75,406,,,,,
Gambia,2005/06,741,0,38,0,410,-14,0,0,0,1175,35,1211,,,,,
Gambia,2006/07,5822,0,0,0,1819,66,0,0,0,7707,30,7737,,,,,
Gambia,2007/08,1161,0,0,0,1132,39,0,0,0,2332,93,2425,,,,,
Gambia,2008/09,1350,0,0,0,1039,41,0,0,0,2429,49,2479,,,,,
Ghana,2004/05,18554,18669,835,32,9436,21267,1207,1089,0,71089,783,71872,,,,,
Ghana,2005/06,18909,21424,3045,4088,11584,28652,1235,992,0,89928,5031,94959,,,,,
Ghana,2006/07,34377,21321,691,0,9544,14477,638,961,0,82008,-31,81977,,,,,
Ghana,2007/08,27945,23286,395,763,12099,25344,575,1490,341,92237,0,92237,,,,,
Ghana,2008/09,28837,24676,842,399,13598,27825,1035,1216,1002,99429,44,99473,,,,,
Guinea,2004/05,0,0,0,0,0,0,0,0,0,0,22,22,,,,,
